airpot_code,nb_flights_shop
ORD,3886176
EWR,3085271
JFK,2307442
DFW,1612667
LGA,1565012
LAX,1097464
IAH,1084447
PVG,894441
ATL,693345
MIA,678224
BWI,645219
IAD,632649
PEK,573339
DCA,560707
HOU,452584
MSP,354126
DTW,318792
RDU,317239
BOS,309123
SFO,308584
HKG,306889
SJC,290597
PHL,264755
DEN,243869
CLT,243197
SWF,242488
OAK,221821
SEA,209149
MCO,197762
PHX,197699
IND,196017
CVG,192531
SAN,191220
BNA,173736
FLL,169826
MSY,167823
SLC,166122
MEX,164583
CMH,163946
CLE,144741
SNA,144242
DAL,140293
MCI,136556
YYZ,136329
STL,134413
TPA,129933
PIT,128686
SJU,126130
LAS,123918
ONT,123236
ICN,112219
BDL,110192
SDQ,109534
BUF,102271
SAL,100783
KIN,99936
MEM,98479
SHA,97115
PBI,96810
AUS,96780
ORF,93973
YUL,93201
SMF,88764
MKE,85823
OMA,84060
GSO,74959
BHM,74864
LGB,73317
RIC,73281
BOG,72616
JAX,72520
MDW,71242
YVR,70841
HNL,69992
DAY,69160
OKC,66244
SAV,66227
DXB,65765
SAT,64075
ILM,64067
CHS,61735
SYR,61626
SDF,60584
TUS,60511
SIN,58533
ROC,57830
PDX,57244
CAE,57101
PVD,56043
GSP,50850
TUL,50761
TYS,50039
LEX,50009
GDL,48463
HSV,48286
MNL,48047
RSW,46641
BRU,46533
MSN,46468
PNS,45656
BUR,45234
HPN,44499
MYR,44218
GRR,44198
CHA,43625
LIT,42289
XNA,41968
BTV,39735
CAK,39056
JAN,38590
PWM,37972
GEG,36337
ABQ,35985
DSM,35941
PHF,35912
MDT,35407
ALB,34930
PTY,32907
COS,32668
MBJ,32605
AVL,31143
SRQ,31122
FNT,29500
MLI,28650
FAT,26018
SBN,25968
AGS,24957
DAB,24741
BGI,23106
MTY,22736
MDE,22272
BOI,22191
ICT,21940
BMI,21634
TLH,21482
BGR,21427
FAR,21198
ELP,21188
YTZ,21147
SGF,20539
FSD,20398
GNV,20139
ROA,19583
CHO,19581
FAY,19525
RNO,18369
FWA,18045
BTR,18034
JNB,17615
CID,17599
GUA,17335
CUN,17214
MHT,17191
RST,15555
TRI,15097
TGU,14674
MGM,14038
PIA,13671
AVP,13368
YYC,13309
SAP,12940
UIO,12611
EZE,12322
CTG,12292
CRW,11680
ABE,11349
MLB,10604
GPT,10420
LFT,10355
SHV,9771
NRT,9530
GMP,9414
STT,9105
VPS,9090
RAP,8673
PLS,8604
GJT,8404
HGH,8253
OGG,8237
BKK,8030
SGN,8006
SJO,8002
GRB,7575
TPE,7441
SXM,7439
BZE,7361
STI,7282
BJX,7102
UVF,6844
YEG,6838
NKG,6531
BZN,6426
GCM,6403
PSC,6049
PAP,5735
PEI,5521
LIM,5393
YHZ,5375
GRK,5293
BIL,5279
OAJ,5162
BIS,5051
ELM,5029
MOB,5023
YHM,5002
LUK,4910
CEB,4822
ERI,4752
SHE,4640
PSP,4500
FRA,4253
NAS,4251
MLM,3882
GTF,3761
LNK,3717
EWN,3650
CPT,3643
EVV,3493
EUG,3460
KMG,3328
ANC,3295
ATW,3135
GRU,3123
SYD,3079
ECP,3055
ZRH,3021
LSE,2782
KBP,2634
AZO,2567
MGA,2526
MSO,2524
LAN,2434
HRB,2343
KOA,2338
YWG,2220
MOT,2206
AEP,2162
CWA,2114
AEX,2085
BDA,1863
TLV,1854
MBS,1632
CGQ,1553
FPO,1550
FAI,1521
CPR,1451
MLU,1418
HFE,1336
SLU,1305
SZX,1291
FSM,1237
SCL,1177
BLI,1105
TSA,1099
FCA,1065
LGW,1015
DLC,979
ITH,924
TTN,894
SCE,875
REC,843
AUA,662
WUH,611
CAN,577
PER,576
SFB,573
SGU,569
TLC,541
HND,364
IDA,345
MQT,268
LHR,265
ADL,235
JAC,221
PUJ,215
AZA,195
ISN,170
DWC,164
IEV,142
CKG,133
OOL,91
HLN,66
DLH,56
GCC,49
HLA,43
TAO,35
GUM,32
COD,28
LWS,26
FRU,19
OKA,15
BKL,12
GFK,12
LCY,10
KWL,7
CIU,4
CRL,4
TNA,2
BGM,2
RHI,2
CLD,1
SEN,1
BFI,1
CSX,1
PIH,1
ARB,1
